fraud,election_viol,election_viol2,num_closed_polls,dist2kabul,elevation
0,.0042310683,.000017901937,45,2.5080366,1853.2141
0,.031231456,.00097540388,6,19.580557,1937.5492
0,0,0,0,22.177797,1756.29
0,.018063258,.00032628127,2,26.109512,1656.6533
0,.0077942931,.000060751005,10,34.5751,1640.0509
0,0,0,5,37.37286,2500
0,0,0,3,18.770693,2291.2632
0,0,0,10,21.108704,2563.6521
0,0,0,3,18.481699,2174.4451
0,.021129141,.00044644062,0,16.549625,1989.9059
0,.067725442,.0045867353,1,30.842745,2492.4551
1,.10257883,.010522417,4,48.486347,1834.229
0,0,0,1,28.62561,2491.6399
0,.075979181,.005772836,4,18.852503,1970.1943
0,0,0,1,32.401039,2557.552
0,.019960279,.00039841273,1,57.549118,1575.095
0,0,0,0,69.155632,1904.09
0,0,0,3,69.585793,2566.6445
0,.0059527,.000035434634,9,70.897491,2601.5276
0,.059438307,.0035329123,55,55.360008,1641.7903
0,0,0,0,62.044285,1528.7333
0,0,0,2,50.281631,1883.843
0,0,0,1,65.43589,1863.0914
0,0,0,0,82.390617,2909.687
1,0,0,2,67.583435,2881.1133
1,0,0,4,63.339497,2893.7446
0,0,0,0,82.437927,3207.7268
0,0,0,0,55.782902,3144.3425
0,.0067172251,.000045121113,2,46.488167,1540.6761
0,0,0,1,37.634018,2023.3527
0,0,0,1,57.67408,1466.4399
0,.11371944,.012932111,3,32.77784,2475.8984
0,.11021105,.012146477,7,53.484276,3333.8591
0,0,0,0,89.362984,3348.1326
0,0,0,4,135.96436,3190.9392
0,0,0,17,86.575478,2963.7112
0,.032968845,.0010869447,31,77.762878,2719.5767
1,.16065609,.02581038,17,81.684647,2492.0342
0,.28861311,.083297521,29,43.625404,2617.1792
0,.016281607,.00026509073,21,107.56477,2774.4351
0,.026712613,.00071356364,21,63.077133,2281.8916
0,.16892843,.028536815,15,82.846046,2201.7
0,.076231964,.0058113122,57,71.840111,2108.0659
0,.029490696,.00086970115,11,60.022339,2687.8467
0,.017209927,.00029618156,17,35.899509,2311.9094
0,.025940338,.00067290111,10,63.206055,3013.6799
0,.064909779,.0042132791,25,96.529556,2714.5125
